Mã hồ sơ,Nhóm lĩnh vực,Kênh nộp hồ sơ,Tháng phát sinh,Số ngày giải quyết,Kết quả đánh giá
DVC-2026-007045,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,26,Trễ hẹn
DVC-2026-003364,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,20,Trễ hẹn
DVC-2026-000262,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,10,Đúng hạn
DVC-2026-006678,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,11,Đúng hạn
DVC-2026-001388,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,18,Trễ hẹn
DVC-2026-009973,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,4,Đúng hạn
DVC-2026-001180,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,11,Đúng hạn
DVC-2026-009936,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-004797,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-008068,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,10,Đúng hạn
DVC-2026-002642,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,1,Đúng hạn
DVC-2026-001057,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,7,Đúng hạn
DVC-2026-005672,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,10,Đúng hạn
DVC-2026-006304,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,4,Đúng hạn
DVC-2026-009008,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,5,Đúng hạn
DVC-2026-005828,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,3,Đúng hạn
DVC-2026-004541,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,40,Trễ hẹn
DVC-2026-006914,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,28,Trễ hẹn
DVC-2026-003106,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,19,Trễ hẹn
DVC-2026-007162,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-006798,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,22,Trễ hẹn
DVC-2026-008721,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,43,Trễ hẹn
DVC-2026-002697,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,19,Trễ hẹn
DVC-2026-004312,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,36,Trễ hẹn
DVC-2026-001275,Xây dựng,Trực tiếp tại quầy,Tháng 8,30,Trễ hẹn
DVC-2026-003831,Xây dựng,Trực tuyến (DVC),Tháng 9,3,Đúng hạn
DVC-2026-005814,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,13,Đúng hạn
DVC-2026-006387,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,8,Đúng hạn
DVC-2026-006098,Xây dựng,Trực tuyến (DVC),Tháng 3,32,Trễ hẹn
DVC-2026-003287,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,8,Đúng hạn
DVC-2026-002262,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 1,7,Đúng hạn
DVC-2026-001946,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 5,7,Đúng hạn
DVC-2026-001243,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,2,Đúng hạn
DVC-2026-009739,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,9,Đúng hạn
DVC-2026-001241,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,8,Đúng hạn
DVC-2026-003083,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,13,Đúng hạn
DVC-2026-006381,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,12,Đúng hạn
DVC-2026-006165,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,11,Đúng hạn
DVC-2026-007674,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,19,Trễ hẹn
DVC-2026-002527,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,41,Trễ hẹn
DVC-2026-001508,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,1,Đúng hạn
DVC-2026-009869,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,1,Đúng hạn
DVC-2026-000855,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,7,Đúng hạn
DVC-2026-009282,Xây dựng,Trực tiếp tại quầy,Tháng 9,5,Đúng hạn
DVC-2026-007129,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-009632,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,9,Đúng hạn
DVC-2026-003535,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-001385,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 1,6,Đúng hạn
DVC-2026-004753,Xây dựng,Trực tiếp tại quầy,Tháng 1,35,Trễ hẹn
DVC-2026-000036,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 7,38,Trễ hẹn
DVC-2026-003544,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,4,Đúng hạn
DVC-2026-008669,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,8,Đúng hạn
DVC-2026-000390,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 1,38,Trễ hẹn
DVC-2026-008256,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,1,Đúng hạn
DVC-2026-000774,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-002648,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 7,7,Đúng hạn
DVC-2026-007948,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,25,Trễ hẹn
DVC-2026-001762,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,7,Đúng hạn
DVC-2026-000557,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,13,Đúng hạn
DVC-2026-009999,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,13,Đúng hạn
DVC-2026-008215,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,39,Trễ hẹn
DVC-2026-003334,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,19,Trễ hẹn
DVC-2026-001769,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,5,Đúng hạn
DVC-2026-001916,Xây dựng,Trực tiếp tại quầy,Tháng 7,8,Đúng hạn
DVC-2026-004470,Xây dựng,Trực tiếp tại quầy,Tháng 7,6,Đúng hạn
DVC-2026-006226,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,6,Đúng hạn
DVC-2026-001045,Xây dựng,Trực tuyến (DVC),Tháng 10,10,Đúng hạn
DVC-2026-008364,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,4,Đúng hạn
DVC-2026-006002,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,11,Đúng hạn
DVC-2026-006924,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,7,Đúng hạn
DVC-2026-005771,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-003658,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,16,Trễ hẹn
DVC-2026-005562,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,16,Trễ hẹn
DVC-2026-001384,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-008042,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-009391,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 3,6,Đúng hạn
DVC-2026-007246,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,12,Đúng hạn
DVC-2026-004883,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 1,16,Trễ hẹn
DVC-2026-007991,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,22,Trễ hẹn
DVC-2026-005133,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,24,Trễ hẹn
DVC-2026-005649,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,4,Đúng hạn
DVC-2026-003745,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,23,Trễ hẹn
DVC-2026-000713,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 1,4,Đúng hạn
DVC-2026-005957,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,12,Đúng hạn
DVC-2026-006577,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,18,Trễ hẹn
DVC-2026-005567,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,12,Đúng hạn
DVC-2026-007253,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,43,Trễ hẹn
DVC-2026-004488,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,5,Đúng hạn
DVC-2026-000974,Xây dựng,Trực tuyến (DVC),Tháng 9,37,Trễ hẹn
DVC-2026-000664,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,3,Đúng hạn
DVC-2026-002512,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,5,Đúng hạn
DVC-2026-003977,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 7,24,Trễ hẹn
DVC-2026-009197,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,1,Đúng hạn
DVC-2026-001067,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 9,1,Đúng hạn
DVC-2026-006813,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,1,Đúng hạn
DVC-2026-000186,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,7,Đúng hạn
DVC-2026-006221,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,5,Đúng hạn
DVC-2026-003951,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 6,40,Trễ hẹn
DVC-2026-007077,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,42,Trễ hẹn
DVC-2026-007772,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,3,Đúng hạn
DVC-2026-000445,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-000637,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,21,Trễ hẹn
DVC-2026-008071,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,7,Đúng hạn
DVC-2026-001347,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 11,40,Trễ hẹn
DVC-2026-007812,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,13,Đúng hạn
DVC-2026-005231,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,3,Đúng hạn
DVC-2026-003706,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,7,Đúng hạn
DVC-2026-000279,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,8,Đúng hạn
DVC-2026-004558,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,39,Trễ hẹn
DVC-2026-007803,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,2,Đúng hạn
DVC-2026-000245,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,6,Đúng hạn
DVC-2026-000027,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,10,Đúng hạn
DVC-2026-001350,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,9,Đúng hạn
DVC-2026-000517,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,3,Đúng hạn
DVC-2026-000413,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-009641,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,5,Đúng hạn
DVC-2026-008147,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,4,Đúng hạn
DVC-2026-006746,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,12,Đúng hạn
DVC-2026-006982,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,8,Đúng hạn
DVC-2026-005268,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,4,Đúng hạn
DVC-2026-005785,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,17,Trễ hẹn
DVC-2026-000877,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-003073,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-004071,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,44,Trễ hẹn
DVC-2026-004696,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,7,Đúng hạn
DVC-2026-007691,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,17,Trễ hẹn
DVC-2026-005982,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,7,Đúng hạn
DVC-2026-001056,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,30,Trễ hẹn
DVC-2026-004364,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,4,Đúng hạn
DVC-2026-004316,Xây dựng,Trực tuyến (DVC),Tháng 10,27,Trễ hẹn
DVC-2026-009334,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,8,Đúng hạn
DVC-2026-003896,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,42,Trễ hẹn
DVC-2026-002163,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-009398,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,9,Đúng hạn
DVC-2026-009861,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 10,13,Đúng hạn
DVC-2026-008464,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,38,Trễ hẹn
DVC-2026-002149,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,27,Trễ hẹn
DVC-2026-009140,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,10,Đúng hạn
DVC-2026-002725,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,15,Trễ hẹn
DVC-2026-003124,Xây dựng,Trực tiếp tại quầy,Tháng 1,3,Đúng hạn
DVC-2026-005132,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,28,Trễ hẹn
DVC-2026-006360,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,8,Đúng hạn
DVC-2026-004671,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,32,Trễ hẹn
DVC-2026-009760,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 4,3,Đúng hạn
DVC-2026-004063,Xây dựng,Trực tiếp tại quầy,Tháng 2,41,Trễ hẹn
DVC-2026-008628,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,12,Đúng hạn
DVC-2026-004661,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 8,10,Đúng hạn
DVC-2026-003640,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,34,Trễ hẹn
DVC-2026-003422,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,30,Trễ hẹn
DVC-2026-006454,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-006773,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,40,Trễ hẹn
DVC-2026-005394,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,12,Đúng hạn
DVC-2026-009409,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,10,Đúng hạn
DVC-2026-004429,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,8,Đúng hạn
DVC-2026-002308,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,12,Đúng hạn
DVC-2026-006062,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,1,Đúng hạn
DVC-2026-009024,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,20,Trễ hẹn
DVC-2026-002787,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 4,1,Đúng hạn
DVC-2026-005681,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 4,3,Đúng hạn
DVC-2026-004927,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,3,Đúng hạn
DVC-2026-007198,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,44,Trễ hẹn
DVC-2026-000501,Xây dựng,Trực tuyến (DVC),Tháng 3,5,Đúng hạn
DVC-2026-000148,Xây dựng,Trực tuyến (DVC),Tháng 2,27,Trễ hẹn
DVC-2026-001153,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,33,Trễ hẹn
DVC-2026-005931,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-002771,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,40,Trễ hẹn
DVC-2026-003860,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,23,Trễ hẹn
DVC-2026-002408,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,4,Đúng hạn
DVC-2026-007239,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,1,Đúng hạn
DVC-2026-006404,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 4,4,Đúng hạn
DVC-2026-002893,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,10,Đúng hạn
DVC-2026-003998,Xây dựng,Trực tiếp tại quầy,Tháng 12,23,Trễ hẹn
DVC-2026-008269,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,9,Đúng hạn
DVC-2026-004066,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,4,Đúng hạn
DVC-2026-009573,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-008711,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,27,Trễ hẹn
DVC-2026-002174,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,13,Đúng hạn
DVC-2026-004262,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 6,1,Đúng hạn
DVC-2026-008440,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 6,2,Đúng hạn
DVC-2026-004964,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,2,Đúng hạn
DVC-2026-002671,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,30,Trễ hẹn
DVC-2026-002614,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-001378,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,26,Trễ hẹn
DVC-2026-003039,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 8,8,Đúng hạn
DVC-2026-005575,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-004067,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,43,Trễ hẹn
DVC-2026-001859,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,36,Trễ hẹn
DVC-2026-001610,Xây dựng,Trực tuyến (DVC),Tháng 2,17,Trễ hẹn
DVC-2026-004215,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,1,Đúng hạn
DVC-2026-006073,Xây dựng,Trực tiếp tại quầy,Tháng 5,12,Đúng hạn
DVC-2026-002072,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-009805,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,42,Trễ hẹn
DVC-2026-001221,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,8,Đúng hạn
DVC-2026-008006,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,19,Trễ hẹn
DVC-2026-000910,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,13,Đúng hạn
DVC-2026-000692,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,16,Trễ hẹn
DVC-2026-006821,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 7,4,Đúng hạn
DVC-2026-009459,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,27,Trễ hẹn
DVC-2026-009755,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,12,Đúng hạn
DVC-2026-003365,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,2,Đúng hạn
DVC-2026-006968,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,8,Đúng hạn
DVC-2026-009801,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,2,Đúng hạn
DVC-2026-005156,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,12,Đúng hạn
DVC-2026-004410,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,26,Trễ hẹn
DVC-2026-000372,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,32,Trễ hẹn
DVC-2026-007085,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,2,Đúng hạn
DVC-2026-003434,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,3,Đúng hạn
DVC-2026-002682,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,2,Đúng hạn
DVC-2026-005137,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,12,Đúng hạn
DVC-2026-006850,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-004435,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,7,Đúng hạn
DVC-2026-009292,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,11,Đúng hạn
DVC-2026-009339,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,6,Đúng hạn
DVC-2026-003139,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,6,Đúng hạn
DVC-2026-007930,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,7,Đúng hạn
DVC-2026-001007,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,41,Trễ hẹn
DVC-2026-007288,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,40,Trễ hẹn
DVC-2026-003788,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,6,Đúng hạn
DVC-2026-000534,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,5,Đúng hạn
DVC-2026-000778,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,17,Trễ hẹn
DVC-2026-000239,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,12,Đúng hạn
DVC-2026-006024,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 6,6,Đúng hạn
DVC-2026-007002,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,9,Đúng hạn
DVC-2026-009323,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,7,Đúng hạn
DVC-2026-003135,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,19,Trễ hẹn
DVC-2026-004918,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,13,Đúng hạn
DVC-2026-007251,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,8,Đúng hạn
DVC-2026-007749,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,3,Đúng hạn
DVC-2026-007656,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,8,Đúng hạn
DVC-2026-002430,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,3,Đúng hạn
DVC-2026-009484,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,12,Đúng hạn
DVC-2026-008069,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 7,13,Đúng hạn
DVC-2026-004369,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-005256,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,28,Trễ hẹn
DVC-2026-007403,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,10,Đúng hạn
DVC-2026-005283,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,7,Đúng hạn
DVC-2026-004371,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 2,2,Đúng hạn
DVC-2026-007508,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,10,Đúng hạn
DVC-2026-005548,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,42,Trễ hẹn
DVC-2026-006627,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,15,Trễ hẹn
DVC-2026-002039,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,35,Trễ hẹn
DVC-2026-003806,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-003410,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,6,Đúng hạn
DVC-2026-009558,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,13,Đúng hạn
DVC-2026-001213,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,38,Trễ hẹn
DVC-2026-006517,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,41,Trễ hẹn
DVC-2026-003247,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 4,2,Đúng hạn
DVC-2026-006111,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,6,Đúng hạn
DVC-2026-002497,Xây dựng,Trực tiếp tại quầy,Tháng 4,27,Trễ hẹn
DVC-2026-005764,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-001925,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,7,Đúng hạn
DVC-2026-002660,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,8,Đúng hạn
DVC-2026-009941,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,6,Đúng hạn
DVC-2026-004662,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,35,Trễ hẹn
DVC-2026-005901,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-004303,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,2,Đúng hạn
